,,,The predicted value of target variable from ML model,,,August Grade 1 is School month 1,Percentile based on a distribution and estimated parameters
Grade,pupilId,screeningId,WCPM_aloud_pred,date,Screening month,School month,Percentile
1,6f2cb13a-4a9d-48a5-83ae-e272081a6cdf,2fb4568d-e189-44ae-ba2b-8dc191e4f499,6.868433,Recording date: 2019-09-13 (UTC),9,2,34
1,81562c8f-2c7e-443a-80c8-6e4770f45463,7fc26def-6431-4f79-a2be-eae018f89eaa,6.2687345,Recording date: 2019-09-13 (UTC),9,2,33
1,81562c8f-2c7e-443a-80c8-6e4770f45463,7fc26def-6431-4f79-a2be-eae018f89eaa,30.365559,Recording date: 2019-09-13 (UTC),9,2,63
1,9e3d3401-8877-4855-8883-44ebdb6d2946,572ae573-b2f9-4b64-af93-51d39dbdec4d,23.94076,Recording date: 2019-09-13 (UTC),9,2,55
1,9e3d3401-8877-4855-8883-44ebdb6d2946,572ae573-b2f9-4b64-af93-51d39dbdec4d,30.194006,Recording date: 2019-09-13 (UTC),9,2,63
1,b0202bcb-fd74-4714-b011-ecc5d8a8d789,8d646eeb-712e-4d43-8796-ac792fc03459,11.134484,Recording date: 2019-09-13 (UTC),9,2,39
1,b0202bcb-fd74-4714-b011-ecc5d8a8d789,8d646eeb-712e-4d43-8796-ac792fc03459,15.149816,Recording date: 2019-09-13 (UTC),9,2,44
1,b878b209-a08f-4da5-ab9f-0aa682b1437d,48d0b6b2-175b-496e-9a91-be8eb39cf4e1,3.2003295,Recording date: 2019-09-13 (UTC),9,2,30
1,b878b209-a08f-4da5-ab9f-0aa682b1437d,48d0b6b2-175b-496e-9a91-be8eb39cf4e1,3.9299982,Recording date: 2019-09-13 (UTC),9,2,31
1,bbae6f60-c5fb-4484-82b7-c6b4ce24ed00,f5892fcd-4696-4721-b7a7-e6aa804b92e8,13.164087,Recording date: 2019-09-13 (UTC),9,2,42
1,bbae6f60-c5fb-4484-82b7-c6b4ce24ed00,f5892fcd-4696-4721-b7a7-e6aa804b92e8,20.614763,Recording date: 2019-09-13 (UTC),9,2,51
1,c1d07fa6-6eb6-4a3f-8f8b-f1458bed3c38,983250ef-174e-4ef1-a0c4-1790829552bc,9.415951,Recording date: 2019-09-13 (UTC),9,2,37
1,c1d07fa6-6eb6-4a3f-8f8b-f1458bed3c38,983250ef-174e-4ef1-a0c4-1790829552bc,21.543564,Recording date: 2019-09-13 (UTC),9,2,52
1,ddcc5960-4dfa-47e5-ad03-6bc3d2245d0b,ece716d5-443d-4da1-9ea0-292fd9000e2c,7.6626186,Recording date: 2019-09-13 (UTC),9,2,35
1,ddcc5960-4dfa-47e5-ad03-6bc3d2245d0b,ece716d5-443d-4da1-9ea0-292fd9000e2c,6.5988665,Recording date: 2019-09-13 (UTC),9,2,34
1,9feba0f4-938c-4e78-b84c-a808cddb8f83,b0fc90df-5106-4052-aa8c-cb7ea26b10a2,100.99419,Recording date: 2019-01-25 (UTC),1,6,99
1,9feba0f4-938c-4e78-b84c-a808cddb8f83,b0fc90df-5106-4052-aa8c-cb7ea26b10a2,130.67459,Recording date: 2019-01-25 (UTC),1,6,100
1,966df924-378f-49cf-8e55-00925a962431,c8efc5f0-dfdd-4630-8ec0-547442914efd,52.60407,Recording date: 2019-06-19 (UTC),6,11,34
1,966df924-378f-49cf-8e55-00925a962431,c8efc5f0-dfdd-4630-8ec0-547442914efd,50.18589,Recording date: 2019-06-19 (UTC),6,11,32
1,a5e4310a-186b-43ff-a350-f2e7d0e6afdd,9888e6bf-d5df-4543-94e1-05c3d178ad11,14.592702,Recording date: 2019-06-17 (UTC),6,11,8
1,a5e4310a-186b-43ff-a350-f2e7d0e6afdd,9888e6bf-d5df-4543-94e1-05c3d178ad11,14.526674,Recording date: 2019-06-17 (UTC),6,11,8
1,b6e7b0a0-58c6-4440-a242-6b5a397f3303,2116b25e-1371-41fa-8aef-3adee9d40105,16.486473,Recording date: 2019-06-12 (UTC),6,11,9
1,b6e7b0a0-58c6-4440-a242-6b5a397f3303,2116b25e-1371-41fa-8aef-3adee9d40105,23.647799,Recording date: 2019-06-12 (UTC),6,11,12
1,c6a49951-b39b-4d1e-8c4c-89bc36f84fdb,53077349-c1d5-4884-8db9-98718a845187,71.50701,Recording date: 2019-06-12 (UTC),6,11,53
1,c6a49951-b39b-4d1e-8c4c-89bc36f84fdb,53077349-c1d5-4884-8db9-98718a845187,52.66673,Recording date: 2019-06-12 (UTC),6,11,34
1,d31818bf-a423-4512-9885-847833f87578,c6388bad-340b-4a7d-b7c4-57f53514ce56,55.49727,Recording date: 2019-06-12 (UTC),6,11,37
1,d31818bf-a423-4512-9885-847833f87578,c6388bad-340b-4a7d-b7c4-57f53514ce56,70.477844,Recording date: 2019-06-12 (UTC),6,11,52
1,d9565119-44f1-4c00-be4f-61a2cbff00c2,a0993664-2827-4f0b-b859-479e597b71e9,36.58635,Recording date: 2019-06-12 (UTC),6,11,20
